method,N,dim,k,ef_search,num_queries,M,ef_construction,leaf_capacity,finger_rank,finger_warmup,pctree_partitions,mtree_pivots,vt_pivots,kmeans_clusters,hnsw_num_levels,pctree_height,mtree_height,vptree_height,vtree_height,kmeans_height,hnsw_build_sec,pctree_build_sec,mtree_build_sec,vptree_build_sec,vtree_build_sec,kmeans_build_sec,finger_build_sec,tri_build_sec,recall_at_k,avg_latency_us,speedup_vs_hnsw,recall_loss_vs_hnsw
Normal HNSW,1000000,960,30,10,1000,16,200,64,16,8,4,5,2,4,6,7,9,14,1103,24,2199.695805,190.8989664,75.93309096,13.80982468,1141.746871,524.9029904,287.1480834,7.729237131,0.5556666714,536.330539,1,0
HNSW -> TRI,1000000,960,30,10,1000,16,200,64,16,8,4,5,2,4,6,7,9,14,1103,24,2199.695805,190.8989664,75.93309096,13.80982468,1141.746871,524.9029904,287.1480834,7.729237131,0.5556666714,278.262259,1.92742825,0
HNSW + FINGER,1000000,960,30,10,1000,16,200,64,16,8,4,5,2,4,6,7,9,14,1103,24,2199.695805,190.8989664,75.93309096,13.80982468,1141.746871,524.9029904,287.1480834,7.729237131,0.2711666719,147.323973,3.640483813,0.2844999995
MTree -> HNSW,1000000,960,30,10,1000,16,200,64,16,8,4,5,2,4,6,7,9,14,1103,24,2199.695805,190.8989664,75.93309096,13.80982468,1141.746871,524.9029904,287.1480834,7.729237131,0.5536333375,310.618266,1.726654861,0.002033333894
MTree -> TRI,1000000,960,30,10,1000,16,200,64,16,8,4,5,2,4,6,7,9,14,1103,24,2199.695805,190.8989664,75.93309096,13.80982468,1141.746871,524.9029904,287.1480834,7.729237131,0.5536333375,228.088011,2.351419247,0.002033333894
MTree -> FINGER,1000000,960,30,10,1000,16,200,64,16,8,4,5,2,4,6,7,9,14,1103,24,2199.695805,190.8989664,75.93309096,13.80982468,1141.746871,524.9029904,287.1480834,7.729237131,0.2476000049,143.525228,3.736838091,0.3080666665
PCTree -> HNSW,1000000,960,30,10,1000,16,200,64,16,8,4,5,2,4,6,7,9,14,1103,24,2199.695805,190.8989664,75.93309096,13.80982468,1141.746871,524.9029904,287.1480834,7.729237131,0.5531333373,280.495221,1.912084409,0.002533334054
PCTree -> TRI,1000000,960,30,10,1000,16,200,64,16,8,4,5,2,4,6,7,9,14,1103,24,2199.695805,190.8989664,75.93309096,13.80982468,1141.746871,524.9029904,287.1480834,7.729237131,0.5531333373,210.656473,2.545996006,0.002533334054
PCTree -> FINGER,1000000,960,30,10,1000,16,200,64,16,8,4,5,2,4,6,7,9,14,1103,24,2199.695805,190.8989664,75.93309096,13.80982468,1141.746871,524.9029904,287.1480834,7.729237131,0.2505333384,123.516936,4.342161944,0.305133333
VPTree -> HNSW,1000000,960,30,10,1000,16,200,64,16,8,4,5,2,4,6,7,9,14,1103,24,2199.695805,190.8989664,75.93309096,13.80982468,1141.746871,524.9029904,287.1480834,7.729237131,0.5532333382,312.169138,1.718076753,0.002433333155
VPTree -> TRI,1000000,960,30,10,1000,16,200,64,16,8,4,5,2,4,6,7,9,14,1103,24,2199.695805,190.8989664,75.93309096,13.80982468,1141.746871,524.9029904,287.1480834,7.729237131,0.5532333382,232.420451,2.30758755,0.002433333155
VPTree -> FINGER,1000000,960,30,10,1000,16,200,64,16,8,4,5,2,4,6,7,9,14,1103,24,2199.695805,190.8989664,75.93309096,13.80982468,1141.746871,524.9029904,287.1480834,7.729237131,0.237133338,138.037077,3.885409273,0.3185333334
VTree -> HNSW,1000000,960,30,10,1000,16,200,64,16,8,4,5,2,4,6,7,9,14,1103,24,2199.695805,190.8989664,75.93309096,13.80982468,1141.746871,524.9029904,287.1480834,7.729237131,0.5540666712,1773.113078,0.3024796025,0.00160000021
