method,N,dim,k,ef_search,num_queries,M,ef_construction,leaf_capacity,finger_rank,finger_warmup,num_pivots,hnsw_num_levels,pctree_height,mtree_height,vptree_height,vtree_height,hnsw_build_sec,pctree_build_sec,mtree_build_sec,vptree_build_sec,vtree_build_sec,finger_build_sec,tri_build_sec,recall_at_k,avg_latency_us,speedup_vs_hnsw,recall_loss_vs_hnsw
Normal HNSW,1000000,960,30,50,1000,16,200,64,16,8,2,6,15,9,14,391,2273.916273,347.8311475,74.94350515,12.50983198,955.4399866,289.6057732,7.710734252,0.6579333357,765.546267,1,0
HNSW -> TRI,1000000,960,30,50,1000,16,200,64,16,8,2,6,15,9,14,391,2273.916273,347.8311475,74.94350515,12.50983198,955.4399866,289.6057732,7.710734252,0.6579333357,450.116318,1.700774303,0
HNSW + FINGER,1000000,960,30,50,1000,16,200,64,16,8,2,6,15,9,14,391,2273.916273,347.8311475,74.94350515,12.50983198,955.4399866,289.6057732,7.710734252,0.334266672,206.417486,3.708727792,0.3236666638
MTree -> HNSW,1000000,960,30,50,1000,16,200,64,16,8,2,6,15,9,14,391,2273.916273,347.8311475,74.94350515,12.50983198,955.4399866,289.6057732,7.710734252,0.6563333357,413.305474,1.85225291,0.001600000031
MTree -> TRI,1000000,960,30,50,1000,16,200,64,16,8,2,6,15,9,14,391,2273.916273,347.8311475,74.94350515,12.50983198,955.4399866,289.6057732,7.710734252,0.6563333357,342.363082,2.236065473,0.001600000031
MTree -> FINGER,1000000,960,30,50,1000,16,200,64,16,8,2,6,15,9,14,391,2273.916273,347.8311475,74.94350515,12.50983198,955.4399866,289.6057732,7.710734252,0.3327000049,208.863756,3.665290147,0.3252333308
PCTree -> HNSW,1000000,960,30,50,1000,16,200,64,16,8,2,6,15,9,14,391,2273.916273,347.8311475,74.94350515,12.50983198,955.4399866,289.6057732,7.710734252,0.6581666692,377.907777,2.025748909,-0.000233333461
PCTree -> TRI,1000000,960,30,50,1000,16,200,64,16,8,2,6,15,9,14,391,2273.916273,347.8311475,74.94350515,12.50983198,955.4399866,289.6057732,7.710734252,0.6581666692,314.655407,2.432967144,-0.000233333461
PCTree -> FINGER,1000000,960,30,50,1000,16,200,64,16,8,2,6,15,9,14,391,2273.916273,347.8311475,74.94350515,12.50983198,955.4399866,289.6057732,7.710734252,0.3267000046,171.632835,4.460371857,0.3312333311
VPTree -> HNSW,1000000,960,30,50,1000,16,200,64,16,8,2,6,15,9,14,391,2273.916273,347.8311475,74.94350515,12.50983198,955.4399866,289.6057732,7.710734252,0.6580333356,404.407667,1.893006314,-9.999982268e-05
VPTree -> TRI,1000000,960,30,50,1000,16,200,64,16,8,2,6,15,9,14,391,2273.916273,347.8311475,74.94350515,12.50983198,955.4399866,289.6057732,7.710734252,0.6580333356,329.996912,2.319858881,-9.999982268e-05
VPTree -> FINGER,1000000,960,30,50,1000,16,200,64,16,8,2,6,15,9,14,391,2273.916273,347.8311475,74.94350515,12.50983198,955.4399866,289.6057732,7.710734252,0.3269000047,183.158306,4.179697245,0.3310333311
VTree -> HNSW,1000000,960,30,50,1000,16,200,64,16,8,2,6,15,9,14,391,2273.916273,347.8311475,74.94350515,12.50983198,955.4399866,289.6057732,7.710734252,0.6545666688,2286.657027,0.3347884086,0.003366666898
VTree -> TRI,1000000,960,30,50,1000,16,200,64,16,8,2,6,15,9,14,391,2273.916273,347.8311475,74.94350515,12.50983198,955.4399866,289.6057732,7.710734252,0.6545666688,2125.324094,0.3602021307,0.003366666898
VTree -> FINGER,1000000,960,30,50,1000,16,200,64,16,8,2,6,15,9,14,391,2273.916273,347.8311475,74.94350515,12.50983198,955.4399866,289.6057732,7.710734252,0.333500005,1942.599327,0.3940834615,0.3244333307
