method,N,dim,k,ef_search,num_queries,M,ef_construction,leaf_capacity,finger_rank,finger_warmup,pctree_partitions,mtree_pivots,vt_pivots,kmeans_clusters,hnsw_num_levels,pctree_height,mtree_height,vptree_height,vtree_height,kmeans_height,hnsw_build_sec,pctree_build_sec,mtree_build_sec,vptree_build_sec,vtree_build_sec,kmeans_build_sec,finger_build_sec,tri_build_sec,recall_at_k,avg_latency_us,speedup_vs_hnsw,recall_loss_vs_hnsw
Normal HNSW,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.464963336,216.9327692,1,0
HNSW -> TRI,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.4649666693,89.0019065,2.437394633,-3.333338723e-06
HNSW + FINGER,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.3794300038,78.1566476,2.775615074,0.08553333219
MTree -> HNSW,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.4661066693,123.7189709,1.75343173,-0.001143333381
MTree -> TRI,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.4661000027,86.0842802,2.52000445,-0.001136666709
MTree -> FINGER,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.3704466703,75.5783547,2.870302881,0.09451666567
PCTree -> HNSW,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.4676566692,115.9860074,1.87033569,-0.002693333263
PCTree -> TRI,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.4676633359,83.6322859,2.593887837,-0.002699999935
PCTree -> FINGER,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.3636700036,69.6294499,3.115531855,0.1012933324
VPTree -> HNSW,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.4665466693,114.5728811,1.893404156,-0.001583333348
VPTree -> TRI,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.4665466693,84.7980615,2.558227928,-0.001583333345
VPTree -> FINGER,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.3665966703,71.3537153,3.040244902,0.09836666569
VTree -> HNSW,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.4654566693,1779.479047,0.1219080211,-0.0004933332942
VTree -> TRI,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.4654566693,1487.006173,0.1458855875,-0.0004933332883
VTree -> FINGER,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.3657000035,1360.314757,0.159472481,0.09926333244
KMeansTree -> HNSW,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.4655033358,151.883381,1.428285095,-0.0005399998832
KMeansTree -> TRI,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.4655133358,101.0951963,2.145826678,-0.0005499998856
KMeansTree -> FINGER,1281147,300,30,5,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.3622900036,86.3883914,2.511133333,0.1026733324
Normal HNSW,1281147,300,30,10,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.464963336,217.1228361,1,0
HNSW -> TRI,1281147,300,30,10,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.4649666693,89.1280524,2.436077422,-3.333338723e-06
HNSW + FINGER,1281147,300,30,10,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.3794300038,78.2609357,2.774345006,0.08553333219
MTree -> HNSW,1281147,300,30,10,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.4661066693,123.9364791,1.751888045,-0.001143333381
MTree -> TRI,1281147,300,30,10,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.4661000027,86.1916039,2.519071769,-0.001136666709
MTree -> FINGER,1281147,300,30,10,10000,16,200,64,16,8,4,5,2,4,6,8,11,15,3895,70,780.8470859,96.34764565,29.80122693,6.183710152,1552.258588,307.8232853,54.1095753,0.563547723,0.3704466703,75.696289,2.868341883,0.09451666567
