method,N,dim,k,ef_search,num_queries,M,ef_construction,leaf_capacity,finger_rank,finger_warmup,num_pivots,hnsw_num_levels,pctree_height,mtree_height,vptree_height,vtree_height,hnsw_build_sec,pctree_build_sec,mtree_build_sec,vptree_build_sec,vtree_build_sec,finger_build_sec,tri_build_sec,recall_at_k,avg_latency_us,speedup_vs_hnsw,recall_loss_vs_hnsw
Normal HNSW,1281147,300,30,50,10000,16,200,64,16,8,2,6,15,11,15,1209,811.1484458,161.1758012,29.48794249,5.598204074,1189.942017,55.15536031,0.563115347,0.5278866679,295.7437156,1,0
HNSW -> TRI,1281147,300,30,50,10000,16,200,64,16,8,2,6,15,11,15,1209,811.1484458,161.1758012,29.48794249,5.598204074,1189.942017,55.15536031,0.563115347,0.5278866679,137.901551,2.144600358,0
HNSW + FINGER,1281147,300,30,50,10000,16,200,64,16,8,2,6,15,11,15,1209,811.1484458,161.1758012,29.48794249,5.598204074,1189.942017,55.15536031,0.563115347,0.4361533359,120.5041949,2.454219256,0.09173333206
MTree -> HNSW,1281147,300,30,50,10000,16,200,64,16,8,2,6,15,11,15,1209,811.1484458,161.1758012,29.48794249,5.598204074,1189.942017,55.15536031,0.563115347,0.5307600013,165.9085232,1.782570961,-0.002873333388
MTree -> TRI,1281147,300,30,50,10000,16,200,64,16,8,2,6,15,11,15,1209,811.1484458,161.1758012,29.48794249,5.598204074,1189.942017,55.15536031,0.563115347,0.5307600013,130.4969431,2.266288455,-0.002873333388
MTree -> FINGER,1281147,300,30,50,10000,16,200,64,16,8,2,6,15,11,15,1209,811.1484458,161.1758012,29.48794249,5.598204074,1189.942017,55.15536031,0.563115347,0.4366400028,111.9058883,2.642789581,0.09124666517
PCTree -> HNSW,1281147,300,30,50,10000,16,200,64,16,8,2,6,15,11,15,1209,811.1484458,161.1758012,29.48794249,5.598204074,1189.942017,55.15536031,0.563115347,0.5290900013,150.2061326,1.968919048,-0.001203333354
PCTree -> TRI,1281147,300,30,50,10000,16,200,64,16,8,2,6,15,11,15,1209,811.1484458,161.1758012,29.48794249,5.598204074,1189.942017,55.15536031,0.563115347,0.5290900013,123.8051344,2.388783931,-0.001203333354
PCTree -> FINGER,1281147,300,30,50,10000,16,200,64,16,8,2,6,15,11,15,1209,811.1484458,161.1758012,29.48794249,5.598204074,1189.942017,55.15536031,0.563115347,0.4256766694,101.8247212,2.904439237,0.1022099985
VPTree -> HNSW,1281147,300,30,50,10000,16,200,64,16,8,2,6,15,11,15,1209,811.1484458,161.1758012,29.48794249,5.598204074,1189.942017,55.15536031,0.563115347,0.5330800011,157.2293891,1.880969692,-0.005193333202
VPTree -> TRI,1281147,300,30,50,10000,16,200,64,16,8,2,6,15,11,15,1209,811.1484458,161.1758012,29.48794249,5.598204074,1189.942017,55.15536031,0.563115347,0.5330800011,124.6570422,2.372458951,-0.005193333202
VPTree -> FINGER,1281147,300,30,50,10000,16,200,64,16,8,2,6,15,11,15,1209,811.1484458,161.1758012,29.48794249,5.598204074,1189.942017,55.15536031,0.563115347,0.4347133361,102.6628009,2.880729076,0.09317333186
VTree -> HNSW,1281147,300,30,50,10000,16,200,64,16,8,2,6,15,11,15,1209,811.1484458,161.1758012,29.48794249,5.598204074,1189.942017,55.15536031,0.563115347,0.5292566679,1971.587494,0.1500028361,-0.001369999983
VTree -> TRI,1281147,300,30,50,10000,16,200,64,16,8,2,6,15,11,15,1209,811.1484458,161.1758012,29.48794249,5.598204074,1189.942017,55.15536031,0.563115347,0.5292533346,1742.296186,0.1697436509,-0.00136666665
VTree -> FINGER,1281147,300,30,50,10000,16,200,64,16,8,2,6,15,11,15,1209,811.1484458,161.1758012,29.48794249,5.598204074,1189.942017,55.15536031,0.563115347,0.4270166693,1657.739643,0.1784017876,0.1008699986
