method,N,dim,k,ef_search,num_queries,M,ef_construction,leaf_capacity,finger_rank,finger_warmup,pctree_partitions,pctree_leaf_clusters,mtree_pivots,mtree_leaf_clusters,vpt_leaf_clusters,kmeans_clusters,kmeans_leaf_clusters,hnsw_num_levels,pctree_height,mtree_height,vptree_height,kmeans_height,hnsw_build_sec,pctree_build_sec,mtree_build_sec,vptree_build_sec,kmeans_build_sec,finger_build_sec,tri_build_sec,recall_at_k,avg_latency_ns,speedup_vs_hnsw,recall_loss_vs_hnsw,avg_hnsw_level_0_time_ns,avg_hnsw_level_1_time_ns,avg_hnsw_level_2_time_ns,avg_hnsw_level_3_time_ns,avg_hnsw_level_4_time_ns,avg_hnsw_level_5_time_ns,avg_hnsw_tri_level0_time_ns,avg_hnsw_finger_level0_time_ns,avg_pctree_lookup_time_ns,avg_mtree_lookup_time_ns,avg_vptree_lookup_time_ns,avg_kmeans_tree_lookup_time_ns,avg_hnswLevel0_PCTree_ns,avg_hnswLevel0_MTree_ns,avg_hnswLevel0_VPTree_ns,avg_hnswLevel0_KMeanTree_ns,avg_hnswTriLevel0_PCTree_ns,avg_hnswTriLevel0_MTree_ns,avg_hnswTriLevel0_VPTree_ns,avg_hnswTriLevel0_KMeanTree_ns,avg_hnswFingerLevel0_PCTree_ns,avg_hnswFingerLevel0_MTree_ns,avg_hnswFingerLevel0_VPTree_ns,avg_hnswFingerLevel0_KMeanTree_ns,avg_hnswLevel0PCTreeMulti_ns,avg_hnswFingerLevel0PCTreeMulti_ns,avg_hnswTriLevel0PCTreeMulti_ns,avg_hnswLevel0MTreeMulti_ns,avg_hnswFingerLevel0MTreeMulti_ns,avg_hnswTriLevel0MTreeMulti_ns,avg_hnswLevel0VPTreeMulti_ns,avg_hnswFingerLevel0VPTreeMulti_ns,avg_hnswTriLevel0VPTreeMulti_ns,avg_hnswLevel0KMeansTreeMulti_ns,avg_hnswFingerLevel0KMeansTreeMulti_ns,avg_hnswTriLevel0KMeansTreeMulti_ns
Normal HNSW,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.9085666597,200231.7751,1,0,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
HNSW -> TRI,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.9085633264,86951.4823,2.302798869,3.333336115e-06,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
HNSW + FINGER,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.6351066696,78530.7648,2.549723992,0.2734599901,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
MTree -> HNSW,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.9089133264,92785.2587,2.158012791,-0.0003466667086,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
MTree -> TRI,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.9089133264,64320.8972,3.113012781,-0.0003466667086,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
MTree -> FINGER,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.6240666695,70159.176,2.853964179,0.2844999902,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
MTree -> HNSW Multi,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.9090833265,70187.5986,2.85280846,-0.0005166668355,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
MTree -> TRI Multi,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.9090833265,57286.3692,3.49527781,-0.0005166668355,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
MTree -> FINGER Multi,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.6252900028,63846.3804,3.136149204,0.2832766569,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
PCTree -> HNSW,1000000,128,30,50,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,515.1631618,68.50891176,6.769340558,3.541335714,48.5952566,18.80205334,2.928165994,0.908099993,96943.9416,2.065438766,0.0004666666567,176065.6069,7506.8091,6868.5188,5456.6335,1837.1479,232.8647,76160.4492,74293.1687,5774.4504,9952.861,5695.3113,10201.0474,90613.8919,82393.0822,98033.1344,86704.0337,67305.2339,59768.1066,73490.4331,66411.8888,71923.5726,67261.169,76677.9314,67169.7353,87536.1851,72302.0319,67855.0107,67228.7376,61086.7763,54439.1289,91462.6513,72207.1186,69466.979,81336.3879,66770.2537,65594.3299
