method,N,dim,k,ef_search,num_queries,M,ef_construction,leaf_capacity,finger_rank,finger_warmup,pctree_partitions,pctree_leaf_clusters,mtree_pivots,mtree_leaf_clusters,vpt_leaf_clusters,kmeans_clusters,kmeans_leaf_clusters,hnsw_num_levels,pctree_height,mtree_height,vptree_height,kmeans_height,hnsw_build_sec,pctree_build_sec,mtree_build_sec,vptree_build_sec,kmeans_build_sec,finger_build_sec,tri_build_sec,recall_at_k,avg_latency_us,speedup_vs_hnsw,recall_loss_vs_hnsw,avg_hnsw_level_0_time_us,avg_hnsw_level_1_time_us,avg_hnsw_level_2_time_us,avg_hnsw_level_3_time_us,avg_hnsw_level_4_time_us,avg_hnsw_level_5_time_us,avg_hnsw_tri_level0_time_us,avg_hnsw_finger_level0_time_us,avg_pctree_lookup_time_us,avg_mtree_lookup_time_us,avg_vptree_lookup_time_us,avg_kmeans_tree_lookup_time_us
Normal HNSW,1000000,128,30,10,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,442.0321834,64.23399803,6.211438103,3.186848673,44.66949806,16.53692738,2.376900224,0.8337433288,113.9447563,1,0,95.9763613,6.0477431,5.4528411,3.9393821,1.1917136,0.1284483,36.7603678,38.8822061,4.4058736,7.6697245,3.9268102,7.2244687
HNSW -> TRI,1000000,128,30,10,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,442.0321834,64.23399803,6.211438103,3.186848673,44.66949806,16.53692738,2.376900224,0.8337233288,43.7939548,2.601837555,2.000000477e-05,95.9763613,6.0477431,5.4528411,3.9393821,1.1917136,0.1284483,36.7603678,38.8822061,4.4058736,7.6697245,3.9268102,7.2244687
HNSW + FINGER,1000000,128,30,10,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,442.0321834,64.23399803,6.211438103,3.186848673,44.66949806,16.53692738,2.376900224,0.5412933381,41.8727227,2.721216796,0.2924499907,95.9763613,6.0477431,5.4528411,3.9393821,1.1917136,0.1284483,36.7603678,38.8822061,4.4058736,7.6697245,3.9268102,7.2244687
MTree -> HNSW,1000000,128,30,10,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,442.0321834,64.23399803,6.211438103,3.186848673,44.66949806,16.53692738,2.376900224,0.8345599956,55.8718792,2.039393662,-0.0008166667677,95.9763613,6.0477431,5.4528411,3.9393821,1.1917136,0.1284483,36.7603678,38.8822061,4.4058736,7.6697245,3.9268102,7.2244687
MTree -> TRI,1000000,128,30,10,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,442.0321834,64.23399803,6.211438103,3.186848673,44.66949806,16.53692738,2.376900224,0.8345366622,34.6888609,3.284765004,-0.0007933334269,95.9763613,6.0477431,5.4528411,3.9393821,1.1917136,0.1284483,36.7603678,38.8822061,4.4058736,7.6697245,3.9268102,7.2244687
MTree -> FINGER,1000000,128,30,10,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,442.0321834,64.23399803,6.211438103,3.186848673,44.66949806,16.53692738,2.376900224,0.507790005,38.9646035,2.924314533,0.3259533238,95.9763613,6.0477431,5.4528411,3.9393821,1.1917136,0.1284483,36.7603678,38.8822061,4.4058736,7.6697245,3.9268102,7.2244687
MTree -> HNSW Multi,1000000,128,30,10,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,442.0321834,64.23399803,6.211438103,3.186848673,44.66949806,16.53692738,2.376900224,0.8346299954,41.6060886,2.738655811,-0.0008866666414,95.9763613,6.0477431,5.4528411,3.9393821,1.1917136,0.1284483,36.7603678,38.8822061,4.4058736,7.6697245,3.9268102,7.2244687
MTree -> TRI Multi,1000000,128,30,10,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,442.0321834,64.23399803,6.211438103,3.186848673,44.66949806,16.53692738,2.376900224,0.8346166621,31.7201597,3.592187346,-0.0008733333029,95.9763613,6.0477431,5.4528411,3.9393821,1.1917136,0.1284483,36.7603678,38.8822061,4.4058736,7.6697245,3.9268102,7.2244687
MTree -> FINGER Multi,1000000,128,30,10,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,442.0321834,64.23399803,6.211438103,3.186848673,44.66949806,16.53692738,2.376900224,0.5133400047,34.617708,3.291516478,0.3204033241,95.9763613,6.0477431,5.4528411,3.9393821,1.1917136,0.1284483,36.7603678,38.8822061,4.4058736,7.6697245,3.9268102,7.2244687
PCTree -> HNSW,1000000,128,30,10,10000,16,200,64,16,8,4,3,5,3,3,4,3,6,7,8,14,10,442.0321834,64.23399803,6.211438103,3.186848673,44.66949806,16.53692738,2.376900224,0.8345033288,64.7816079,1.758905961,-0.0007599999897,95.9763613,6.0477431,5.4528411,3.9393821,1.1917136,0.1284483,36.7603678,38.8822061,4.4058736,7.6697245,3.9268102,7.2244687
