method,N,dim,k,ef_search,num_queries,M,ef_construction,leaf_capacity,finger_rank,finger_warmup,num_pivots,hnsw_num_levels,pctree_height,mtree_height,vptree_height,vtree_height,hnsw_build_sec,pctree_build_sec,mtree_build_sec,vptree_build_sec,vtree_build_sec,finger_build_sec,tri_build_sec,recall_at_k,avg_latency_us,speedup_vs_hnsw,recall_loss_vs_hnsw
Normal HNSW,1000000,128,30,50,10000,16,200,64,16,8,2,6,14,8,14,22,539.2119957,56.95046169,7.386459131,2.359403214,7.426492386,22.33597466,3.390215481,0.9085666597,223.3851781,1,0
HNSW -> TRI,1000000,128,30,50,10000,16,200,64,16,8,2,6,14,8,14,22,539.2119957,56.95046169,7.386459131,2.359403214,7.426492386,22.33597466,3.390215481,0.9085633264,77.9636648,2.865247275,3.333336115e-06
HNSW + FINGER,1000000,128,30,50,10000,16,200,64,16,8,2,6,14,8,14,22,539.2119957,56.95046169,7.386459131,2.359403214,7.426492386,22.33597466,3.390215481,0.6351066696,87.9591493,2.539646869,0.2734599901
MTree -> HNSW,1000000,128,30,50,10000,16,200,64,16,8,2,6,14,8,14,22,539.2119957,56.95046169,7.386459131,2.359403214,7.426492386,22.33597466,3.390215481,0.9088633265,81.9330075,2.726436938,-0.0002966667667
MTree -> TRI,1000000,128,30,50,10000,16,200,64,16,8,2,6,14,8,14,22,539.2119957,56.95046169,7.386459131,2.359403214,7.426492386,22.33597466,3.390215481,0.9088599931,65.3127645,3.42023768,-0.0002933334365
MTree -> FINGER,1000000,128,30,50,10000,16,200,64,16,8,2,6,14,8,14,22,539.2119957,56.95046169,7.386459131,2.359403214,7.426492386,22.33597466,3.390215481,0.6303500028,70.5754607,3.165196173,0.2782166569
PCTree -> HNSW,1000000,128,30,50,10000,16,200,64,16,8,2,6,14,8,14,22,539.2119957,56.95046169,7.386459131,2.359403214,7.426492386,22.33597466,3.390215481,0.9084666598,90.2579458,2.474964128,9.999992251e-05
PCTree -> TRI,1000000,128,30,50,10000,16,200,64,16,8,2,6,14,8,14,22,539.2119957,56.95046169,7.386459131,2.359403214,7.426492386,22.33597466,3.390215481,0.9084666598,75.3116141,2.966145139,9.999992251e-05
PCTree -> FINGER,1000000,128,30,50,10000,16,200,64,16,8,2,6,14,8,14,22,539.2119957,56.95046169,7.386459131,2.359403214,7.426492386,22.33597466,3.390215481,0.6295066695,76.0277181,2.93820706,0.2790599902
VPTree -> HNSW,1000000,128,30,50,10000,16,200,64,16,8,2,6,14,8,14,22,539.2119957,56.95046169,7.386459131,2.359403214,7.426492386,22.33597466,3.390215481,0.9086366598,91.8890067,2.431032679,-7.000011802e-05
VPTree -> TRI,1000000,128,30,50,10000,16,200,64,16,8,2,6,14,8,14,22,539.2119957,56.95046169,7.386459131,2.359403214,7.426492386,22.33597466,3.390215481,0.9086333265,69.9463516,3.193664473,-6.66667819e-05
VPTree -> FINGER,1000000,128,30,50,10000,16,200,64,16,8,2,6,14,8,14,22,539.2119957,56.95046169,7.386459131,2.359403214,7.426492386,22.33597466,3.390215481,0.6262433361,68.9034991,3.242000494,0.2823233236
VTree -> HNSW,1000000,128,30,50,10000,16,200,64,16,8,2,6,14,8,14,22,539.2119957,56.95046169,7.386459131,2.359403214,7.426492386,22.33597466,3.390215481,0.9085333265,106.4439588,2.09861772,3.333316445e-05
VTree -> TRI,1000000,128,30,50,10000,16,200,64,16,8,2,6,14,8,14,22,539.2119957,56.95046169,7.386459131,2.359403214,7.426492386,22.33597466,3.390215481,0.9085333265,85.0731512,2.625801148,3.333316445e-05
VTree -> FINGER,1000000,128,30,50,10000,16,200,64,16,8,2,6,14,8,14,22,539.2119957,56.95046169,7.386459131,2.359403214,7.426492386,22.33597466,3.390215481,0.6276266694,83.4985964,2.675316565,0.2809399903
