structure,dataset,param_M,param_ef_construction,param_ef_search,param_leafCapacity,param_numPivots,metric_recall,metric_build_time,metric_latency,metric_height,metric_speedup
hnsw,sift,4,50,20,,,0.8337,355.0,85.5,,
hnsw,glove,4,50,20,,,0.4208,851.3,132.1,,
hnsw,gist,4,50,20,,,0.5557,1538.4,333.9,,
hnsw,sift,4,50,50,,,0.9086,352.9,108.0,,
hnsw,glove,4,50,50,,,0.4987,848.3,203.5,,
hnsw,gist,4,50,50,,,0.6579,1535.7,471.6,,
hnsw,sift,4,50,100,,,0.9684,353.1,191.4,,
hnsw,glove,4,50,100,,,0.5774,846.2,374.0,,
hnsw,gist,4,50,100,,,0.7845,1512.3,811.4,,
hnsw,sift,4,50,200,,,0.9917,352.9,351.5,,
hnsw,glove,4,50,200,,,0.6318,847.1,707.7,,
hnsw,gist,4,50,200,,,0.8768,1523.5,1508.5,,
hnsw,sift,4,100,20,,,0.8337,353.0,73.0,,
hnsw,glove,4,100,20,,,0.4208,847.9,132.3,,
hnsw,gist,4,100,20,,,0.5557,1514.5,327.2,,
hnsw,sift,4,100,50,,,0.9086,352.8,108.5,,
hnsw,glove,4,100,50,,,0.4987,846.9,203.1,,
hnsw,gist,4,100,50,,,0.6579,1531.9,470.2,,
hnsw,sift,4,100,100,,,0.9684,353.2,192.1,,
hnsw,glove,4,100,100,,,0.5774,849.5,373.1,,
hnsw,gist,4,100,100,,,0.7845,1524.1,810.6,,
hnsw,sift,4,100,200,,,0.9917,353.5,352.4,,
hnsw,glove,4,100,200,,,0.6318,848.4,719.7,,
hnsw,gist,4,100,200,,,0.8768,1528.7,1462.1,,
hnsw,sift,4,200,20,,,0.8337,352.9,73.6,,
hnsw,glove,4,200,20,,,0.4208,848.3,131.1,,
hnsw,gist,4,200,20,,,0.5557,1529.8,327.4,,
hnsw,sift,4,200,50,,,0.9086,352.9,107.9,,
hnsw,glove,4,200,50,,,0.4987,848.5,201.8,,
hnsw,gist,4,200,50,,,0.6579,1503.6,493.5,,
hnsw,sift,4,200,100,,,0.9684,352.7,192.8,,
hnsw,glove,4,200,100,,,0.5774,842.7,363.3,,
